id,title,overview,genres,keywords,cast,producers,release_date,runtime,production_companies,vote_average,vote_count,tagline,poster_file
19995,阿凡达,22世纪，一名瘫痪的海军陆战队员被派往潘多拉星球执行一项特殊任务，却在服从命令与保护外星文明之间陷入两难。,动作|冒险|奇幻|科幻,文化冲突|未来|太空战争|太空殖民地|社会|太空旅行|未来主义|浪漫|太空|外星人|部落|外星行星|电脑生成图像|海军陆战队员|士兵|战斗|爱情故事|反战|权力关系|心灵与灵魂|3D,Sam Worthington|Zoe Saldana|Sigourney Weaver|Stephen Lang|Michelle Rodriguez|Giovanni Ribisi|Joel David Moore|CCH Pounder|Wes Studi|Laz Alonso,James Cameron|Jon Landau|Laeta Kalogridis,2009/12/10,162,Ingenious Film Partners|Twentieth Century Fox Film Corporation|Dune Entertainment|Lightstorm Entertainment,7.2,11800,进入潘多拉世界。,/posters/19995.jpg
285,加勒比海盗3：世界的尽头,被认为早已死去的巴博萨船长死而复生，正与威尔·特纳和伊丽莎白·斯旺一同驶向世界尽头。但一切并非表面看起来那么简单。,冒险|奇幻|动作,海洋|药物滥用|异域岛屿|东印度贸易公司|挚爱|叛徒|海难|坚强女性|船只|联盟|卡利普索|来世|战士|海盗|剑客|片尾彩蛋,Johnny Depp|Orlando Bloom|Keira Knightley|Stellan Skarsgård|Chow Yun-fat|Bill Nighy|Geoffrey Rush|Jack Davenport|Kevin McNally|Tom Hollander,Jerry Bruckheimer|Mike Stenson|Eric McLeod|Chad Oman|Peter Kohn|Pat Sandston,2007/5/19,169,Walt Disney Pictures|Jerry Bruckheimer Films|Second Mate Productions,6.9,4500,在世界尽头，冒险就此开始。,/posters/285.jpg
206647,幽灵党,邦德过去收到的一条神秘信息，引导他踏上追查一个邪恶组织的征程。与此同时，M女士正与政治势力周旋，以维持秘密情报局的存续；而邦德则层层揭开欺骗的面纱，最终揭示出“幽灵党”背后骇人听闻的真相。,动作|冒险|犯罪,间谍|改编自小说|特工|续集|军情六处|英国秘密情报局|英国,Daniel Craig|Christoph Waltz|Léa Seydoux|Ralph Fiennes|Monica Bellucci|Ben Whishaw|Naomie Harris|Dave Bautista|Andrew Scott|Rory Kinnear,Daniel Craig|Barbara Broccoli|Callum McDougall|Gregg Wilson|Michael G. Wilson|Stacy Perskie|Jayne-Ann Tenggren|Luca Marco Paracels,2015/10/26,148,Columbia Pictures|Danjaq|B24,6.3,4466,无人能逃脱的计划,/posters/206647.jpg
49026,蝙蝠侠：黑暗骑士崛起,在地区检察官哈维·丹特死后，蝙蝠侠主动承担起丹特所犯下的罪行，以维护这位已故检察官的声誉，随后遭到哥谭市警察局的追捕。八年后，蝙蝠侠遭遇神秘女子赛琳娜·凯尔以及反派头目贝恩——一位令哥谭最精锐力量都为之崩溃的新恐怖分子领袖。黑暗骑士再度现身，守护一座已将他视为敌人的城市。,动作|犯罪|剧情|惊悚,DC漫画|打击犯罪者|恐怖分子|秘密身份|窃贼|人质危机|定时炸弹|哥谭市|义警|掩盖真相|超级英雄|女反派|悲剧英雄|恐怖主义|毁灭|猫女|猫盗贼|IMAX|洪水|犯罪地下世界|蝙蝠侠,Christian Bale|Michael Caine|Gary Oldman|Anne Hathaway|Tom Hardy|Marion Cotillard|Joseph Gordon-Levitt|Morgan Freeman|Cillian Murphy|Juno Temple,Charles Roven|Christopher Nolan|Emma Thomas|Michael Uslan|Benjamin Melniker|Thomas Tull|Kevin De La Noy|Jordan Goldberg,2012/7/16,165,Legendary Pictures|Warner Bros.|DC Entertainment|Syncopy,7.6,9106,传奇终结,/posters/49026.jpg
49529,约翰·卡特,约翰·卡特是一名饱经战乱、身心俱疲的前军队上尉，却意外被传送到神秘而奇异的星球巴松（火星），并被迫卷入一场史诗般的冲突。这是一个濒临崩溃的世界，而当卡特意识到巴松及其人民的存亡取决于自己时，他重新找回了人性。,动作|冒险|科幻,改编自小说|火星|勋章|太空旅行|公主|外星人|蒸汽朋克|火星人|逃亡|埃德加·赖斯·伯勒斯|外星种族|超人力气|火星文明|剑与行星|19世纪|3D,Taylor Kitsch|Lynn Collins|Samantha Morton|Willem Dafoe|Thomas Haden Church|Mark Strong|Ciarán Hinds|Dominic West|James Purefoy|Bryan Cranston,Colin Wilson|Jim Morris|Lindsey Collins|Bob Roath,2012/3/7,132,Walt Disney Pictures,6.1,2124,迷失于我们的世界，却在另一个世界找到自我。,/posters/49529.jpg
559,蜘蛛侠3,看似无敌的蜘蛛侠将面对一批全新的反派角色——其中包括能随意改变形态的沙人。当蜘蛛侠的超能力被一种外星生物改变时，他的另一个身份彼得·帕克则要应对宿敌埃迪·布洛克，并陷入一段三角恋情之中。,奇幻|动作|冒险,双重身份|失忆|沙尘暴|挚爱|宽恕|蜘蛛|可怜虫|朋友之死|自我中心主义|沙子|自恋|敌意|漫威漫画|续集|超级英雄|复仇,Tobey Maguire|Kirsten Dunst|James Franco|Thomas Haden Church|Topher Grace|Bryce Dallas Howard|Rosemary Harris|James Cromwell|J.K. Simmons|Theresa Russell,Joseph M. Caracciolo Jr.|Stan Lee|Laura Ziskin|Avi Arad|Kevin Feige|Grant Curtis,2007/5/1,139,Columbia Pictures|Laura Ziskin Productions|Marvel Enterprises,5.9,3576,内心的战斗。,/posters/559.jpg
38757,魔发奇缘,当王国里最臭名昭著、也最具魅力的盗贼弗林·莱德躲进一座神秘高塔时，却被拥有70英尺长魔法金发的美丽而泼辣的塔中少女乐佩劫为人质。这位对塔外世界充满好奇的少女，多年来一直被囚禁在高塔之中，她渴望借此机会逃离高塔，于是与这位英俊窃贼达成协议；这对意想不到的搭档随即踏上了一段充满动作冒险的旅程，途中还有位超级警察马、一只过度保护主人的变色龙，以及一群粗犷豪放的酒馆恶棍相伴。,动画|家庭,人质|魔法|马|童话|音乐剧|公主|动画|高塔|金发女子|自私|治愈能力|改编自童话|片尾彩蛋|治愈天赋|动物伙伴,Zachary Levi|Mandy Moore|Donna Murphy|Ron Perlman|M.C. Gainey|Jeffrey Tambor|Brad Garrett|Paul F. Tompkins|Richard Kiel|Delaney Rose Stein,John Lasseter|Roy Conli|Glen Keane|Aimee Scribner,2010/11/24,100,Walt Disney Pictures|Walt Disney Animation Studios,7.4,3330,他们将冒险推向全新高度。,/posters/38757.jpg
99861,复仇者联盟2：奥创纪元,当托尼·斯塔克试图重启一项停滞的维和计划时，事情出了差错，地球最强英雄们面临终极考验，而整个星球的命运悬于一线。随着反派奥创现身，复仇者联盟必须阻止他实施可怕的阴谋；随之而来的不安联盟与出人意料的行动，开启了一场史诗级且独一无二的全球冒险。,动作|冒险|科幻,漫威漫画|续集|超级英雄|改编自漫画书|幻视|超级英雄团队|片尾彩蛋|漫威电影宇宙|3D,Robert Downey Jr.|Chris Hemsworth|Mark Ruffalo|Chris Evans|Scarlett Johansson|Jeremy Renner|James Spader|Samuel L. Jackson|Don Cheadle|Aaron Taylor-Johnson,Stan Lee|Kevin Feige|Patricia Whitcher|Jon Favreau|Louis D'Esposito|Alan Fine|Victoria Alonso|Jeremy Latcham|Mitchell Bell|Daniel S. Kaminsky|Luca Marco Paracels|Jamie Christopher,2015/4/22,141,Marvel Studios|Prime Focus|Revolution Sun Studios,7.3,6767,一个新时代已经到来。,/posters/99861.jpg
767,哈利·波特与混血王子,当哈利开始在霍格沃茨的第六学年时，他发现了一本标有“混血王子所有”的旧书，并开始更多地了解伏地魔的黑暗过去。,冒险|奇幻|家庭,女巫|魔法|飞天扫帚|魔法学校|巫术|幻影移形|青春期爱慕|狼人,Daniel Radcliffe|Rupert Grint|Emma Watson|Tom Felton|Michael Gambon|Jim Broadbent|Helena Bonham Carter|Robbie Coltrane|Maggie Smith|Alan Rickman,David Heyman|David Barron|Tim Lewis|Lionel Wigram,2009/7/7,153,Warner Bros.|Heyday Films,7.4,5293,黑暗秘密揭晓,/posters/767.jpg
209112,蝙蝠侠大战超人：正义黎明,由于担忧一位神级超级英雄的行为不受约束，哥谭市自身强大而强硬的义警挺身而出，挑战大都会最受尊崇的现代救世主；与此同时，全世界都在思索自己真正需要的是怎样的英雄。当蝙蝠侠与超人彼此交战时，一股新的威胁迅速浮现，将人类置于前所未有的巨大危险之中。,动作|冒险|奇幻,DC漫画|义警|超级英雄|改编自漫画|复仇|超能力|克拉克·肯特|布鲁斯·韦恩|DC扩展宇宙,Ben Affleck|Henry Cavill|Gal Gadot|Amy Adams|Jesse Eisenberg|Diane Lane|Jeremy Irons|Laurence Fishburne|Holly Hunter|Scoot McNairy,Charles Roven|Christopher Nolan|Emma Thomas|David S. Goyer|Michael Uslan|Benjamin Melniker|Bruce Moriarty|Wesley Coller|Deborah Snyder|Gregory Wilson|Geoff Johns|Curt Kanemoto,2016/3/23,151,DC Comics|Atlas Entertainment|Warner Bros.|DC Entertainment|Cruel & Unusual Films|RatPac-Dune Entertainment,5.7,7004,正义还是复仇,/posters/209112.jpg
